Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	ОПТИЧЕСКИЕ ШНУРЫ	Unnamed: 8	Unnamed: 9
									
									
									
									
									
									
									
Артикул		Оптические пигтейлы			Цена сайт				
									
		Патчкорд FTTHD-FRP1,0-SC/APC-200м	шт		11411.1	12270	26		
		Патчкорд FTTHD-FRP1,0-SC/APC-250м	шт		11699.400000000001	12580	20		
		Патчкорд FTTHD-FRP1,0-SC/APC-300м	шт		13429.2	14440	под заказ		
									
		Патчкорд FTTHD-FRP1,8-SC/APC-30м	шт		7886.400000000001	8480	под заказ		
		Патчкорд FTTHD-FRP1,8-SC/APC-40м	шт		8118.900000000001	8730	под заказ		
		Патчкорд FTTHD-FRP1,8-SC/APC-50м	шт		8351.4	8980	под заказ		
		Патчкорд FTTHD-FRP1,8-SC/APC-60м	шт		8583.9	9230	под заказ		
		Патчкорд FTTHD-FRP1,8-SC/APC-70м	шт		8807.1	9470	под заказ		
		Патчкорд FTTHD-FRP1,8-SC/APC-80м	шт		9039.6	9720	под заказ		
		Патчкорд FTTHD-FRP1,8-SC/APC-90м	шт		9272.1	9970	под заказ		
		Патчкорд FTTHD-FRP1,8-SC/APC-100м	шт		10183.5	10950	под заказ		
		Патчкорд FTTHD-FRP1,8-SC/APC-110м	шт		10425.300000000001	11210	под заказ		
		Патчкорд FTTHD-FRP1,8-SC/APC-120м	шт		10676.400000000001	11480	под заказ		
		Патчкорд FTTHD-FRP1,8-SC/APC-130м	шт		10927.5	11750	под заказ		
		Патчкорд FTTHD-FRP1,8-SC/APC-140м	шт		11169.300000000001	12010	под заказ		
		Патчкорд FTTHD-FRP1,8-SC/APC-150м	шт		11420.400000000001	12280	под заказ		
		Патчкорд FTTHD-FRP1,8-SC/APC-160м	шт		12443.400000000001	13380	под заказ		
		Патчкорд FTTHD-FRP1,8-SC/APC-170м	шт		12703.800000000001	13660	под заказ		
		Патчкорд FTTHD-FRP1,8-SC/APC-180м	шт		12973.5	13950	под заказ		
