Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	ОПТИЧЕСКИЙ КАБЕЛЬ	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12
												
												
												
												
												
												
												
Артикул		Кабель оптический абонентский FTTH 			Цена сайт	Цена сайт						
												
499716		Кабель КС-ОКЛ-П-16-G.652.D-2025	км		411246	442200	230, 383, 409м					
698712		Кабель КС-ОКЛ-24-G.652.D-2041	км		478113	514100	в наличии					
499718		Кабель КС-ОКЛ-П-24-G.652.D-2025	км		478113	514100	606,538м					
5968279		Кабель КС-ОКЛ-П-32-G.652.D-2037	км		501642	539400	в наличии					
630140		Кабель КС-ОКЛ-32-G.652.D-2043	км		501642	539400	в наличии					
596912		Кабель КС-ОКЛ-П-36-G.652.D-2037	км		603570	649000	в наличии					
500549		Кабель КС-ОКЛ-36-G.652.D-2042	км		603570	649000	в наличии					
499254		Кабель КС-ОКЛ-П-48-G.652.D-2037	км		641700	690000	274м					
620371		Кабель КС-ОКЛ-48-G.652.D-2043	км		641700	690000	в наличии					
499133		Кабель КС-ОКЛ-П-64-G.652.D-2044	км		979941	1053700	в наличии					
600833		Кабель КС-ОКЛ-П-64-G.652.D-2044а	км		979941	1053700	в наличии					
499134		Кабель КС-ОКЛ-П-96-G.652.D-2044	км		1199979	1290300	в наличии					
499728		Кабель КС-ОКЛ-П-144-G.652.D-2028 	км		1959882	2107400	540м, 226м					
197701		Кабель КС-ОКЛ-П-144-G.652.D-2045	км		1959882	2107400	в наличии					
* (а) в маркирове означает - по 8 волокна в млдуле 												
												
		Кабель с броней из стальных провололк для прокладки в грунт КС-ОКБО, КС-ОКБ										
												
361023		Кабель КС-ОКБО-4-G.652.D-7.0-6102	км		297042	319400	в наличии					
250043		Кабель КС-ОКБО-16-G.652.D-7.0-6103	км		431520	464000	в наличии					
		Кабель КС-ОКБО-4-G.652.D-6.0-6104	км		274350	295000	в производстве					
		Кабель КС-ОКБО-8-G.652.D-6.0-6104	км		296205	318500	в производстве					
		Кабель КС-ОКБО-24-G.652.D-6.0-6104	км		435054	467800	в производстве					
59977		Кабель КС-ОКБ-24-G.652.D-CF-7,0-6054	км		646071	694700	в наличии					
499771		Кабель КС-ОКБ-П-72-G.652.D-6045 (12А)	км		708009	761300	1.234					
												
499177		Кабель ОКБО-4-G.652.D-3,0	км		198462	213400	в наличии					
499176		Кабель ОКБО-8-G.652.D-3,0	км		213900	230000	в наличии					
400171		Кабель ОКБО-4-G.652.D-7,0	км		274350	295000	в наличии					
499172		Кабель ОКБО-8-G.652.D-7,0	км		308574	331800						
499173		Кабель ОКБО-12-G.652.D-7,0	км		356097	382900	в наличии					
499174		Кабель ОКБО-16-G.652.D-7,0	км		379347	407900	в наличии					
499175		Кабель ОКБО-24-G.652.D-7,0	км		435054	467800	в наличии					
												
499225		Кабель ОКБ-16-G.652.D-7,0	км		484623	521100	в наличии					
499179		Кабель ОКБ-24-G.652.D-7,0	км		588504	632800	в наличии					
499180		Кабель ОКБ-48-G.652.D-7,0	км		728469	783300	в наличии					
												
		Кабель без бронепокрова, для задувки КС-ОКГ 										
												
		по 6 волоон в модуле										
170805		Кабель КС-ОКГ-П-16-G.652.D-1056			252867	271900	258м					
499645		Кабель КС-ОКГ-П-20-G.652.D-1056 			240870	259000	1,952км					
499650		Кабель КС-ОКГ-П-32-G.652.D-1056			343170	369000	245м					
		по 8 волокон в модуле										
499622		Кабель КС-ОКГ-П-8-G.652.D-1050			289044	310800	149м, 358м					
499628		Кабель КС-ОКГ-П-16-G.652.D-1050			180699	194300	551м, 4152м					
499631		Кабель КС-ОКГ-П-20-G.652.D-1050 			240870	259000	2019м					
												
		Сигнальная лента										
499789		Лента ЛСО-50/0,15 (Осторожно! Оптический кабель!) рул. 500м	рул.		7905	8500	в наличии					
499793		Лента ЛСО-50/0,15-2х0,4 (Осторожно! Оптический кабель!) рул 250м	рул.		21111	22700	в наличии					
												
499796		Лента ЛСО-50/0,15 (Осторожно! Оптический кабель!) рул. 500м	м		15.81	17	в наличии					
499798		Лента ЛСО-50/0,15-2х0,4 (Осторожно! Оптический кабель!) рул 250м	м		84.444	90.8	в наличии					
												
												
												
												
												
												
												
												
												
												
												
												
