Url	Артикул	Описание	РРЦ	Дилер
https://ipmatika.kz/products/promyshlennye-telefony/jr-jr101-fk-y-hb-sip/	JR101-FK-HB-SIP	JR101-FK-HB-SIP, клавиатура, маячок, громкоговоритель, PoE, БП, с крышкой,	739710.0	517570.0
https://ipmatika.kz/products/promyshlennye-telefony/jr-jr101-fk-y-hb-sip/	JR101-FK-HB	JR101-FK-HB, клавиатура, маячок, громкоговоритель, с крышкой, аналоговый	646820.0	452950.0
https://ipmatika.kz/products/promyshlennye-telefony/jr-jr101-fk-l/	JR101-FK-L-4G	JR101-FK-L-4G, клавиатура, маячок, с крышкой, 1 SIM	767410.0	537190.0
https://ipmatika.kz/products/promyshlennye-telefony/jr-jr101-fk-l-sip/	JR101-FK-L-SIP	JR101-FK-L-SIP, клавиатура, маячок, PoE, с крышкой, желтый	656050.0	459290.0
https://ipmatika.kz/products/promyshlennye-telefony/jr-jr101-fk-l/	JR101-FK-L	JR101-FK-L, клавиатура, маячок, с крышкой, желтый, аналоговый	563730.0	394670.0
https://ipmatika.kz/products/promyshlennye-telefony/jr-jr101-fk-sip/	JR101-FK-SIP	JR101-FK-SIP, клавиатура, PoE, БП, с крышкой, желтый	619130.0	433330.0
https://ipmatika.kz/products/promyshlennye-telefony/jr-jr101-fk-y-sip/	JR101-FK	JR101-FK, клавиатура, с крышкой, аналоговый	526810.0	368710.0
https://ipmatika.kz/products/promyshlennye-telefony/jr-jr102-2b-y-sip/	JR102-2B-4G	JR102-2B-4G, БП, 2 кнопки, с крышкой	674520.0	471990.0
https://ipmatika.kz/products/promyshlennye-telefony/jr-jr102-2b-y-sip/	JR102-2B-SIP	JR102-2B-SIP, PoE, БП, 2 кнопки, с крышкой	563730.0	394670.0
https://ipmatika.kz/products/promyshlennye-telefony/jr-jr102-2b-y-sip/	JR102-2B	JR102-2B, БП, 2 кнопки, с крышкой, аналоговая	471410.0	330040.0
https://ipmatika.kz/products/promyshlennye-telefony/jr-jr102-sc-y-sip/	JR102-SC-4G	JR102-SC-4G, 1 кнопка, БП, с крышкой, 1 SIM	656050.0	459290.0
https://ipmatika.kz/products/promyshlennye-telefony/jr-jr102-sc-y-sip/	JR102-SC-SIP	JR102-SC-SIP, PoE, БП, 1 кнопка, с крышкой	545270.0	381970.0
https://ipmatika.kz/products/promyshlennye-telefony/jr-jr102-sc-y-sip/	JR102-SC	JR102-SC, 1 кнопка, с крышкой, аналоговая	452950.0	317350.0
	JR200 общепользовательские телефоны			
	г). Горячая линия (без кнопок)			
https://ipmatika.kz/products/obshchestvennye-telefony-s-trubkoy/J%26R-JR202-CB-OW-SIP/	JR202-CB-4G	JR202-CB-4G, без кнопок, БП, 1 SIM	452950.0	317350.0
https://ipmatika.kz/products/obshchestvennye-telefony-s-trubkoy/J%26R-JR202-CB-OW-SIP/	JR202-CB-SIP	JR202-CB-SIP, без кнопок, PoE, БП	323700.0	226770.0
https://ipmatika.kz/products/obshchestvennye-telefony-s-trubkoy/J%26R-JR202-CB-OW-SIP/	JR202-CB	JR202-CB, без кнопок, серый, аналоговый	231380.0	162140.0
https://ipmatika.kz/products/asepticheskie-telefony-dlya-chistykh-pomeshcheniy/J%26R-JR209-FK-SIP/	JR208-CB-4G	JR208-CB-4G, без клавиатуры, врезной, БП, 1 SIM	545270.0	381970.0
https://ipmatika.kz/products/asepticheskie-telefony-dlya-chistykh-pomeshcheniy/J%26R-JR209-FK-SIP/	JR208-CB-SIP	JR208-CB-SIP, без клавиатуры, врезной, PoE, БП, серый	434490.0	304080.0
https://ipmatika.kz/products/asepticheskie-telefony-dlya-chistykh-pomeshcheniy/J%26R-JR209-FK-SIP/	JR208-CB	JR208-CB, без клавиатуры, врезной, аналоговый	342170.0	239460.0
