URL	Артикул	Описание	Цена	Дилер	Unnamed: 5
https://ipmatika.kz/products/opticheskie-moduli/	SFP модули				
https://ipmatika.kz/products/opticheskie-moduli/wi-sfp10lc-20km/	WI-SFP10LC-20KM	WI-SFP10LC-20KM, Модуль SFP WDM, дальность до 20км (14dB), комплект 2шт 1310/1550нм	13270.0	10614.724999999999	
https://ipmatika.kz/products/opticheskie-moduli/wi-sfp10lc-3km/	WI-SFP10LC-3KM	WI-SFP10LC-3KM, Модуль SFP WDM, дальность до 3км (6dB), комплект 2шт 1310/1550нм	10620.0	8493.375	
https://ipmatika.kz/products/opticheskie-moduli/wi-sfp10sc-20km/	WI-SFP10SC-20KM	WI-SFP10SC-20KM, Модуль SFP WDM, дальность до 20км (14dB), комплект 2шт 1310/1550нм	13270.0	10614.724999999999	
https://ipmatika.kz/products/opticheskie-moduli/wi-sfp10sc-3km/	WI-SFP10SC-3KM	WI-SFP10SC-3KM, Модуль SFP WDM, дальность до 3км (6dB), комплект 2шт 1310/1550нм	11940.0	9554.05	
https://ipmatika.kz/products/opticheskie-moduli/wi-sfp20-10g-20km/	WI-SFP20-10G-20KM	WI-SFP20-10G-20KM, Модуль SFP+  дальность до 20км (11dB), 1310нм	11940.0	9554.05	
https://ipmatika.kz/products/opticheskie-moduli/wi-sfp30-10g/	WI-SFP30-10G	WI-SFP30-10G, Модуль SFP+ с интерфейсом RJ45, до 30м	33170.0	26532.825000000004	
https://ipmatika.kz/products/switch-accessories/tgnet-sfp-10ge-lx-sm1310/	SFP+-10GE-LX-SM1310	МодульTG-NET SFP-10GE-LX-SM1310 (комплект 2шт)	25990.0	20790.0	Акция 
https://ipmatika.kz/products/opticheskie-moduli/wi-sfp30/	WI-SFP30	WI-SFP30, Модуль SFP с интерфейсом RJ45, до 100м	9290.0	7432.7	
https://ipmatika.kz/products/accessories/	Аксессуары				
https://ipmatika.kz/products/accessories/wi-tek-wi-08kit/	WI-08KIT	WI-08KIT, Комплект кронштейнов для монтажа коммутаторов 19''	3980.0	3182.0249999999996	
https://ipmatika.kz/products/accessories/wi-tek-wi-brkc135/	WI-BRKC135	WI-BRKC135, кронштейн для монтажа беспроводных мостов	2650.0	2121.35	
https://ipmatika.kz/products/accessories/wi-tek-wi-pe31e/	WI-PE31E	WI-PE31E, Повторитель PoE, порты 1FE PoE-in + 2FE PoE-out	17910.0	14331.074999999999	
https://ipmatika.kz/products/accessories/wi-tek-wi-pe51e/	WI-PE51E	WI-PE51E, Повторитель PoE, порты 1FE PoE-in + 4FE PoE-out + 1FE	26540.0	21229.449999999997	
https://ipmatika.kz/products/accessories/wi-tek-wi-poe11s-48v/	WI-POE11S-48V	WI-POE11S-48V, Сплиттер PoE, совместим с 802.3af/at ,1FE PoE-in, 1FE out, DC 12В out	2920.0	2336.6749999999997	
https://ipmatika.kz/products/accessories/wi-tek-wi-poe21e-o/	WI-POE21E-O	WI-POE21E-O, Повторитель PoE уличный, 1GE PoE-вход 802.3bt (60Вт), 2GE PoE-выхода 802.3af/at	42450.0	33957.549999999996	
https://ipmatika.kz/products/accessories/wi-tek-wi-poe22e-o/	WI-POE22E-O	WI-POE22E-O, Повторитель PoE уличный, 1GE PoE-вход 802.3bt (90Вт), 2GE PoE-выхода 802.3af/at/bt	55720.0	44572.274999999994	
https://ipmatika.kz/products/accessories/wi-tek-wi-poe60-24v/	WI-POE60-24V	WI-POE60-24V, преобразователь PoE Gigabit Ethernet 48В в 24В	9290.0	7432.7	
https://ipmatika.kz/products/accessories/wi-tek-wi-poe90x/	WI-POE90X	WI-POE90X, преобразователь PoE Gigabit Ethernet 12/24В в 48В	19900.0	15918.099999999999	
	Блоки питания				
https://ipmatika.kz/products/accessories/wi-tek-wi-dp120w-48v/	WI-DP120W-48V	WI-DP120W-48V блок питания 48В, 2,5А, 120Вт	27190.0	21755.8	NEW
https://ipmatika.kz/products/accessories/wi-tek-wi-dp240w-48v/	WI-DP240W-48V	WI-DP240W-48V блок питания 48В, 5А, 240Вт	46430.0	37147.549999999996	NEW
https://ipmatika.kz/products/accessories/wi-tek-wi-dp30w-12v/	WI-DP30W-12V	WI-DP30W-12V блок питания 12В, 2.5А, 30Вт	10620.0	8493.375	NEW
https://ipmatika.kz/products/accessories/wi-tek-wi-dp480w-48v/	WI-DP480W-48V	WI-DP480W-48V блок питания 48В, 10А, 480Вт	92860.0	74287.125	NEW
https://ipmatika.kz/products/accessories/wi-tek-wi-dp75w-48v/	WI-DP75W-48V	WI-DP75W-48V блок питания 48В, 1,6А, 76Вт	19900.0	15918.099999999999	NEW
	Инжекторы PoE				
https://ipmatika.kz/products/accessories/wi-tek-wi-poe31-24v/	WI-POE31-24V	WI-POE31-24V, Инжектор 100Base-T, PoE 24В	5700.0	4561.7	
https://ipmatika.kz/products/accessories/wi-tek-wi-poe31-48v/	WI-POE31-48V	WI-POE31-48V, Инжектор 100Base-T 30Вт совместим с 802.3af/at , 48В	5700.0	4561.7	
https://ipmatika.kz/products/accessories/wi-tek-wi-poe31-48v/	WI-POE31-48V-4578	WI-POE31-48V, Инжектор 100Base-T 30Вт, PIN 4,5+/7,8-, 48В			
https://ipmatika.kz/products/accessories/wi-tek-wi-poe51-24v/	WI-POE51-24V	WI-POE51-24V, Инжектор 1000Base-T, PoE 24В	11270.0	9019.725	
https://ipmatika.kz/products/accessories/wi-tek-wi-poe51-48v/	WI-POE51-48V	WI-POE51-48V, Инжектор 1000Base-T 30Вт совместим с 802.3af/at , 48В	11270.0	9019.725	EOL
https://ipmatika.kz/products/accessories/wi-tek-wi-poe51-48v/	WI-POE51-48V v2	WI-POE51-48V, Инжектор 1000Base-T 30Вт совместим с 802.3af/at , 48В, v2	11270.0	9019.725	
https://ipmatika.kz/products/accessories/wi-tek-wi-poe55-48v-60w/	WI-POE55-48V-60W	WI-POE55-48V-60W, Инжектор 1000Base-T 60Вт совместим с 802.3af/at/bt, 48В	17250.0	13796.75	
https://ipmatika.kz/products/accessories/wi-poe58-bt%20v2/	WI-POE58-BT v2	WI-POE58-BT инжектор PoE 2.5GE BT + 2.5GE Uplink			
https://ipmatika.kz/products/accessories/wi-poe58-bt-l-dc/	WI-POE58-BT-I-DC	WI-POE58-BT-I-DC Промышленный PoE инжектор 1GE BT+1GE Uplink, DC 12-57В	53060.0	42450.924999999996	NEW
https://ipmatika.kz/products/ups/wi-tek-wi-ps302g-ups/	WI-PS302G-UPS	WI-PS302G-UPS, Инжектор с функцией UPS, 1-1000Base-T PoE, 1-1000Base-T, AC/DC in, DC out 24/48В	23880.0	19100.125	EOL
	Промышленные SFP модули				
https://ipmatika.kz/products/opticheskie-moduli/wi-sfp10l-10g-20km-l/	WI-SFP10L-10G-20KM-I	WI-SFP10L-10G-20KM-I, промышленный модуль SFP+ с разъемом LC, до 20км			
https://ipmatika.kz/products/opticheskie-moduli/wi-sfp10l-25g-20km-i/	WI-SFP10L-2.5G-20KM-I	WI-SFP10L-2.5G-20KM-I, промышленный модуль SFP+ с разъемом LC, до 20км, 2 шт.	22550.0	18039.45	
https://ipmatika.kz/products/opticheskie-moduli/wi-sfp10l-20km-i/	WI-SFP10L-20KM-I	WI-SFP10L-20KM-I, промышленный модуль SFP+ с разъемом LC, до 20км, 2 шт.	15920.0	12736.074999999999	
https://ipmatika.kz/products/opticheskie-moduli/wi-sfp10l-3km-i/	WI-SFP10L-3KM-I	WI-SFP10L-3KM-I, промышленный модуль SFP с разъемом LC, до 3км, 2 шт.	13270.0	10614.724999999999	
https://ipmatika.kz/products/opticheskie-moduli/wi-sfp10s-20km-i/	WI-SFP10S-20KM-I	WI-SFP10S-20KM-I, промышленный модуль SFP с разъемом SC, до 20км, 2шт.	15920.0	12736.074999999999	
https://ipmatika.kz/products/opticheskie-moduli/wi-sfp10s-3km-i/	WI-SFP10S-3KM-I	WI-SFP10S-3KM-I, промышленный модуль SFP с разъемом SC, до 3км, 2шт.	13270.0	10614.724999999999	
