Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10
										
										
										
										
										
										
										
										
			545	0.0	545					
										
		Наименование товаров	Розница		Розница	Дилер				
		Краткое описание характеристик	KZT		USD	USD				
		01. Радиостанции гражданского диапазона 27МГц(СВ)								
		1.1 Автомобильные и базовые радиостанции диапазона 27МГц								
35.0		Р/ст Baofeng UV-5R Pro 136-174/400-480МГц, 5Вт, Li-Ion 1800мАч, зарядное устройство, гарнитура, гарантия 1 год	22955.399999999998		42.12	35.1				
38.0		Р/ст AnyTone AT-3218G, 400-480МГц, 3Вт, Li-Ion 1500мАч, зарядное устройство, гарнитура  гарантия 1 год	24906.5		45.7	35.31				
37.0		Р/ст Luiton LT-316 (комплект 2 штуки), 400-470МГц, 3Вт, Li-Ion 1500мАч, з/у, гарантия 1 год	19227.600000000002		35.28	26.28				
46.0		Р/ст Puxing PX-359 400-470МГц, 5Вт, Li-Ion 1600мАч, зарядное устройство	30656.25		56.25	43.7				
1458260824.0		Р/ст AnyTone V10, 400-480МГц, 5Вт, Li-Ion 2600мАч, зарядное устройство, гарантия 12 месяцев	27048.350000000002		49.63	41.36				
36.0		Р/ст AnyTone AT-628G Optim 400-480МГц, 3Вт, Li-Ion 1500мАч, зарядное устройство, гарантия 1 год	27091.95		49.71	39.76		.		
39.0		Р/ст AnyTone AT-628G 400-480МГц, 3Вт, Li-Ion 1500мАч, зарядное устройство, гарнитура, Гарантия 2 года!	29702.5		54.5	43.61				
40.0		Р/ст AnyTone AT-518 TURBO 400-480МГц, 5Вт, Li-Ion 1350мАч, зарядное устройство  Гарантия 2 года!	37016.4		67.92	52.25				
41.0		Р/ст AnyTone AT-3208Plus 400-480МГц, 5Вт, Li-Ion 1350мАч, зарядное устройство  Гарантия 2 года!	37016.4		67.92	52.25				
42.0		Р/ст AnyTone AT-3208Plus 136-174МГц, 5Вт, Li-Ion 1350мАч, зарядное устройство  Гарантия 2 года!	37016.4		67.92	52.25				
43.0		Р/ст Kirisun PT-260 400-470МГц, 5Вт, Li-Ion 1200мАч, зарядное устройство гарантия 1 год	39223.65		71.97	59.98				
44.0		Р/ст Quansheng TG-A8, 400-480МГц, 4.5Вт, Li-Ion 1500мАч, зарядное устройство	36949.365		67.797	53.4375				
