Код	Артикул	Наименование	Полное наименование	Цена дил.	Цена уцен.	Процент	Причина	Остаток	Заказ
60979y	T Air One	Умное мусорное ведро Townew Smart Trash Can T Air One Белый	Умное мусорное ведро, Townew, T Air One, Smart Trash Can, Объем 10 л, Технология запечатывания пакета, Полуавтоматическое, Влагозащита IPX4, Белый	19410.0	13542.0	30%	"1 - Повреждение коробки. акт 82066
1 - Повреждена упаковка.Небольшие потертости. Без следов эксплуатации. Акт 82045
- 2 - Повреждения на коробке. Коробка вскрыта."	4.0	
44660y	R04	Сменные пакеты для умного мусорного ведра Townew Refill Ring R04 (80 шт. в упаковке) Черный	Сменные пакеты для умного мусорного ведра, Townew, R04, Refill Ring (80 шт. в упаковке), для модели TT, Черный	15818.0	9428.0	40%	1 - Повреждена коробка, повран транспортировочный пакет	1.0	
44619y	T Air X	Умное мусорное ведро Townew Smart Trash Can T Air X Оранжевый	Умное мусорное ведро, Townew, T Air X, Smart Trash Can, Объем 13.5 л, Технология запечатывания пакета, Автоматическая крышка и замена мешка, Оранжевый	32789.0	22698.0	31%	 1 - Вскрыта коробка, повреждена коробка	1.0	
56135y	DHP511	Принтер наклеек на телефон Rock Space DHP511	Принтер наклеек на телефон, Rock Space, DHP511 (6941402772352), Сублимационная печать, Цветовая градация 256, Скорость печати 79 сек., 300dpi, Количество печатающих головок 1280 шт, Размер ленточного картриджа 36 наклеек/шт, Белый	68685.0	40000.0	42%	"1 - Потеря товарного вида следы использования
2. потеря товарного вида следы использования"	1.0	
Аксессуары									
45024y	DEM-MQ813W	Машинка для удаления катышков с одежды Deerma Lint Remover MQ813W Белый	Машинка для удаления катышков с одежды, Deerma, Lint Remover MQ813W, Нержавеющая сталь, Индикаторы состояния, Номинальная мощность 3 Вт, Размер 192*70*75 см, Белый	8990.0	5800.0	35%	"1 - Повреждение упаковки
 1 - Повреждена упаковка, загрязнения на устройстве."	3.0	
31782y	DEM-HX10W	Сушилка для обуви Deerma HX10 Shoe dryer	Сушилка для обуви, Deerma, HX10 Shoe dryer	15747.0	14000.0	11%	"2 - Повреждение упаковки
1 - С витрины. Не родная коробка. Не большие потертости и загрязнения на корпусе. Шумит вентилятор
1 - Уценка: С витрины.
1 - Повреждение упаковки, есть небольшие потертости и загрязнения. Шум при работе вентилятора.
1 - Вскрыта коробка, шум вентилятора
1 - Повреждение упаковки, шум вентилятора при работе"	7.0	
37527y	YZZ4011CN	Детская коляска Qborn MITU Folding Baby Stroller Rice Gray	Детская коляска, Qborn, MITU, Folding Baby Stroller, Прогулочная, Складная конструкция, Защита от солнца UPF50+, Максимальная нагрузка 15кг, Бежевый	40214.0	35742.0	11%	Повреждение и замятие упаковки. Потёртости и царапины. Загрязнение.	1.0	
57797y	КТ-4013	Машинка для удаления катышков с одежды Kitfort КТ-4013	Машинка для удаления катышков с одежды, Kitfort, КТ-4013, Пластик, Питание от аккумулятора, Время зарядки 2.5 часа, Ёмкость контейнера 50 мл, Мощность 4 Вт, Белый	24090.0	7200.0	70%	упаковка нарушена следы использования	1.0	
48359y	SC-920	Машинка для удаления катышков с одежды Scarlett SC-920	Машинка для удаления катышков с одежды, Scarlett, SC-920, Защитная сетка, Тип питания 2хАА 1,5В, Съемный полупрозрачный резервуар, Щеточка для чистки лезвий, Белый/голубой	2392.0	1600.0	33%	1 шт - Небольшое повреждение коробки. 1 шт - Лопнул пластик защитного колпачка	2.0	
Товары для уборки									
38070y	YD-02	Комплект для уборки Yijie Rotary Mop Set Белый	Комплект для уборки, Yijie, YD-02, Rotary Mop Set, Специальный отсек для мусора, Роликовая система очистки, Длина ручки 130 см, Диаметр насадки 24 см, Тряпка из микрофибры 1 шт, Белый	6757.0	2711.0	60%	 Следы эксплуатации, Потертости и царапины, загрязнение. Не родная упаковка.	11.0	
24444y	TB500	Полотер/Швабра Deerma Spray Mop TB500 Белый	Полотер/Швабра, Deerma, TB500, Нержавеющая сталь, ABS-пластик и полипропилен, 350 мл, 700 г, Белый	5926.0	4817.0	19%	1 - Повреждения на коробке. Потертости на устройстве.	1.0	
43199y	TB880	Полотер/Швабра Deerma Spray Mop TB880 Белый	Полотер/Швабра, Deerma, TB880, Нержавеющая сталь, ABS-пластик и полипропилен, Объём резервуара 280 мл, Вес 1.1 кг, Распыление на 1 м, Вращение 360 градусов, Белый	10990.0	1.0	100%		1.0	
Аксессуары для кухни									
44513y	CJ-EKPQ04	Автоматический штопор Circle Joy Mini Electric Wine Opener Черный	Автоматический штопор, Circle Joy, Mini Electric Wine Opener, CJ-EKPQ04, Высота 18.3 см, Диаметр 4,8см, Сталь, Ёмкость аккумулятора 500 мАч, В комплекте: кабель Micro USB для зарядки, нож для удаления фольги. тип зарядки: USB. совместимость: с горлышком бутылок диаметром 35 мм. параметры входа: 220 В~50 Гц, Уровень шума: до 75 дБ, Черный	6479.0	3211.0	50%	"поврежддена упаковка 
Повреждение упаковки, слабо заметные потертости."	30.0	
25153y	HU0027	Автоматический штопор Houhou Electric Wine Opener	Автоматический штопор, Houhou, Electric Wine Opener, HU0027/YP-SKU3007077, Нержавеющая сталь, 550 мАч,Размер 252*45 мм, Черный	8084.0	3786.0	53%	С витрины. Небольшие потертости	29.0	
36955y	CJ-TZ02	Винный набор аксессуаров Circle Joy Set	Винный набор аксессуаров, Xiaomi, Circle Joy Set, CJ-TZ02, Нержавеющая сталь, Пластик, Автоматический штопор, Многофункциональный круглый нож с защитой от детей (для открытия оловянных крышек и защитных этикеток, Металлическая пробка для вина, Аэратор	12163.0	6050.0	50%	"Мятая упаковка; 
вскрытая апаковка "	83.0	
44680y	CJ-TZ09	Винный набор аксессуаров Circle Joy Beer Wine 7 in 1	Винный набор аксессуаров, Circle Joy, Beer Wine 7 in 1 CJ-TZ09, Штопор для вина+открывашка для пивных бутылок, 2-в-1 (для вина и пива), нож для фольги, винные пробки, декантер и штопор	13722.0	6523.0	52%	"вскрытая упаковка
Небольшое загрязнение и замятие упаковки, слабозаметные потертости."	18.0	
73958y	CT-1380	Ломтерезка Centek CT-1380 (сереб)	Ломтерезка, Centek, CT-1380, (сереб), Мощность 150 Вт, Толщина нарезки 3-15мм, Держатель крайнего ломтика, Стальной	46742.0	18103.0	61%	Повреждение упаковки, потертости и царапины. После сервисного обслуживания.	1.0	
48175y	2027449120	Лопатка для блинов Tefal Bienvenue 2744912	Лопатка для блинов, Tefal, Bienvenue 2744912, Пластик, Максимальная температура использования 220°, Черный	3990.0	2080.0	48%	Повреждение и замятие упаковки. Потёртости.	3.0	
55553y	23889027001	Набор электрических мельниц Russell Hobbs 28010-56	Набор электрических мельниц, Russell Hobbs, 28010-56, 2 предмета в наборе, Работа от батареек типа АА, Нержавеющая сталь, Регулировка помола, Подсветка рабочей зоны, Черный	29990.0	10490.0	65%	Потеря товарного вида — потертости, повреждена крышка одной мельницы, на работу не влияет. 	1.0	
61113y	КТ-2315	Стерилизатор для бутылочек Kitfort KT-2315	Стерилизатор для бутылочек, Kitfort, KT-2315, Мощность 500 Вт,Цвет зеленый	14690.0	7600.0	48%	1 - Повреждение и замятие упаковки	1.0	
48205y	2100109770	Шумовка Tefal Inicia 2744574	Шумовка, Tefal, Inicia 2744574, Пластик, Макс темп 220°	2990.0	792.0	74%	Потертости и царапины	13.0	
44674y	CJ-JS01	Вакуумная пробка Circle Joy Mini stopper Серебристый	Вакуумная пробка, Circle Joy CJ-JS01 Mini stopper, Металл, Пластик, Диаметр 4,16, Высота 6см, С индикатором срока годности напитка, Поддерживает вакуум на уровне 0,038МПа, Серебристый	2672.0	2380.0	11%	Небольшие потертости.	3.0	
57830y	КТ-2055	Стерилизатор для ножей Kitfort КТ-2055	Стерилизатор для ножей, Kitfort, КТ-2055, Вместимость ножей 7 шт, Длина волны УФ-ламп 253.7 нм, Длина шнура 1.2м, Мощность 42Вт, Мощность УФ-лампы 3Вт, Нагрев 45-70°С, Цикл работы 40 мин, Белый	11990.0	6632.0	45%	"Повреждена упаковка - 1 шт
Вскрыта и загрязнена упаковка - 1 шт"	2.0	
Ножи и наборы ножей									
48195y	2100104348	Нож для нарезки Tefal Ice Force K2320714 20см	Нож для нарезки, Tefal, Ice Force K2320714, 20см, Немецкая нержавеющая сталь, АБС-пластик, Черный	13990.0	6720.0	52%	Повреждение упаковки	1.0	
49189y	2100104351	Нож для хлеба Tefal Ice Force K2320414 20 см	Нож для хлеба, Tefal, Ice Force K2320414, 20см, Нержавеющая сталь, Длина 20 см, Ограничитель из нержавеющей стали	13990.0	6400.0	54%	Повреждение упаковки	2.0	
44666y	HU0073	Набор ножей из дамасской стали Huohou Damascus Knife Set	Набор ножей из дамасской стали, Huohou, Damascus Knife Set, HU0073, Дамасская сталь, чёрное дерево, каучуковое дерево, 5 предметов - 4 ножа и подставка	71741.0	60084.0	16%	Вскрыта загрязнена упаковка, загрязнен товар.	1.0	
Термосы									
56788y	КТ-1220	Термос Kitfort КТ-1220	Термос, Kitfort, КТ-1220, Объём 350мл, Нержавеющая сталь, Сохранение температуры 10-12 ч, Черный	5890.0	3920.0	33%	Потеря товарного вида — потертости. 	1.0	
Кастрюли и ковши									
48237y	2100120957	Кастрюля Tefal Primary E3084474 20см 3л	Кастрюля, Tefal, Primary E3084474, 20см, 3л, Нержавеющая сталь с зеркальной полировкой, Совместимость с плитами: Индукционная, Газовая, Электрическая, Керамическая, Галогенная	20990.0	9600.0	54%	Повреждена упаковка (не родная), кастрюля 1,5 литра. Есть искривление металла в местах крепления ручек.	1.0	
Крышки для посуды									
73984y	LR01-96	Крышка-экран LARA LR01-96	Крышка-экран, LARA, LR01-96, Диаметр 29 см, Нержавеющая сталь, Мойка ручная/в посудомоечной машине, Черный	842.0	400.0	52%	Отсутствует упаковка	1.0	
48281y	9100004179	Крышка Tefal Glass lids 4090122 22см	Крышка, Tefal, Glass lids 4090122, 22см, Жаропрочное стекло, Бакелитовая ручка	3590.0	1520.0	58%	3 шт - Замятие упаковки. Следы пыли. 2 шт -  Повреждение упаковки, Потёртости царапины, сколы.	2.0	
48308y	9100040501	Крышка Tefal Butterfly 4199722 22см	Крышка, Tefal, Butterfly 4199722, 22см, Отверстие для выпуска пара, Складные ручки	6990.0	1520.0	78%	небольшое замятие на ободе, нет упаковки	1.0	
48309y	9100040502	Крышка Tefal Butterfly 4199724 24см	Крышка, Tefal, Butterfly 4199724, 24см, Жаропрочное стекло, 24 см, Нержавеющая сталь	7990.0	1520.0	81%	1 шт - Повреждение упаковки. Следы пыли, царапины на ручке	1.0	
48280y	9100004140	Крышка Tefal Glass lids 4090120 20см	Крышка, Tefal, Glass lids 4090120, 20см, Жаропрочное стекло, Бакелитовая ручка	3490.0	1360.0	61%	5 шт - Замятие упаковки. Следы пыли.  2 шт - Повреждение упаковки, Потёртости царапины, сколы.	6.0	
Наборы посуды									
48288y	9100024805	Набор сковородок Tefal Ingenio 4175820 24-28см	Набор сковородок, Tefal, Ingenio 4175820, 24-28см, 2 Сковороды, 1 съемная ручка, Покрытие антипригарное, Красный	37990.0	20000.0	47%	2 шт -  Повреждение упаковки, Потёртости.	1.0	
48289y	9100027685	Набор сковородок Tefal Ingenio 4181810 22-26см	Набор сковородок, Tefal, Ingenio 4181810, 22-26см, 2 сковороды, 1 съемная ручка, Покрытие антипригарное, Черный	37990.0	21600.0	43%	2 шт - Небольшое повреждение коробки	1.0	
48290y	9100027686	Набор сковородок Tefal Ingenio 4181820 24-28см	Набор сковородок, Tefal, Ingenio 4181820, 24-28см, 2 Сковороды, 1 съемная ручка, Покрытие антипригарное, Черный	33990.0	20800.0	39%	3 шт - Повреждение упаковки, Потёртости царапины, сколы.	2.0	
Сковороды и сотейники									
48222y	2100118216	Сковорда-гриль Tefal Delicio E2324074 26см	Сковорда-гриль, Tefal, Delicio E2324074, 26см, , Антипригарное покрытие Titanium, индикатор температуры Thermo-Signal, Индукция	28990.0	9600.0	67%	Повреждение упаковки. Потертости и царапины	2.0	
48225y	2100118219	Сковорода Tefal Delicio E2320474 24см	Сковорода, Tefal, Delicio E2320474, 24см, Литой алюминий, Антипригарное покрытие Titanium Pro 2x, индикатор температуры Thermo-Signal	24990.0	10320.0	59%	2 шт повреждение упаковки, потертости на покрытии, 2 шт -  Скол антипригарного покрытия на краях сковородки, порвана защитная коробка, которая оборачивает сковородку	3.0	
48228y	2100118272	Сковорода-вок Tefal Easy Chef G2701972 28см	Сковорода-вок, Tefal, Easy Chef G2701972, 28см, Антипригарное покрытие Titanium 2X, Индикатор Thermo-Signal, Индукция	30990.0	13600.0	56%	1 шт - Потертости царапины. Не большое замятие края. 3 шт - Скол антипригарного покрытия на краях сковородки	3.0	
Формы для выпечки									
48192y	2100099000	Противень Tefal Easy Grip J1627114 26х36см	Противень, Tefal, Easy Grip J1627114, 26х36см, Углеродная сталь, Антипригарное покрытие, Черный	11990.0	3920.0	67%	Небольшие потертости и царапины по краю	1.0	
Вертикальные пылесосы									
65856y	MJCMY02EU	Ручной пылесос Xiaomi Dust Mite Vacuum Cleaner 2	Ручной пылесос, Xiaomi, Dust Mite Vacuum Cleaner 2, 12000 об/мин, MJCMY02EU, 239x230x144mm, Напряжение 240 В,Белый	22216.0	16734.0	25%	1  - Вскрыта коробка. Следы демонстративной проверки. акт 82066	1.0	
37478y	MJWXCQ03DY	Беспроводной вертикальный пылесос Xiaomi Mi Handheld Vacuum Cleaner Light Белый	Беспроводной вертикальный пылесос, Xiaomi, Mi Handheld Vacuum Cleaner Light, MJWXCQ03DY / BHR4636GL, Белый	65990.0	27392.0	58%	"1 - Повреждение и замятие упаковки. Потёртости, 
2 - Повреждение и замятие упаковки. Потёртости, 
1 - Повреждение упаковки. Потертости и царапины."	2.0	
62692y	C203	Беспроводной вертикальный пылесос Xiaomi Cordless Vacuum Cleaner G20 Lite Белый	Беспроводной вертикальный пылесос, Xiaomi, Cordless Vacuum Cleaner G20 Lite (C203/BHR8195GL), Сила всасывания 18 000 Па, Аккумулятор 6*2200 мАч, Автономная работы (стандартный – 45 мин, турборежим – 15 мин), Емкость пылесборника 500 мл, Белый	39990.0	30000.0	25%	"3 - поврежденная упаковка
 1 - Повреждена упаковка с потеря товарного вида. акт 83731"	2.0	
64771y	C305HW	Беспроводной вертикальный пылесос Xiaomi Truclean W20 Wet Dry Vacuum EU (с заряд. C305HW-JZ)	Беспроводной вертикальный пылесос, Xiaomi, Truclean W20 Wet Dry Vacuum (C305HW/ BHR8833EU), с заряд. док-станцией C305HW-JZ, Функции уборки 3-в-1, Номинальная мощность 200 Вт, Ёмкость аккумулятора 6*2500 мАч, Автономная работа 28 м, LED дисплей, Станция самоочистки, Белый	114990.0	85688.0	25%	"1 - Вскрыта упаковка. Следы эксплуатации, 
1 - Упаковка вскрыта и повреждена."	2.0	
67026y	D206-DS	Беспроводной вертикальный пылесос Xiaomi Vacuum Cleaner G20 Max	Беспроводной вертикальный пылесос, Xiaomi, Cordless Vacuum Cleaner G20 Max (D206/BHR8828EU), Сила всасывания 11 000 Па, Аккумулятор 3000 мАч, Автономная работы (стандартный – 60 мин, турборежим – 5 мин), Емкость пылесборника 400 мл	119990.0	88536.0	26%	1 - Повреждения на коробке. Коробка не имеет следов вскрытия. АКТ 83735	1.0	
49413y	B302GL	Беспроводной вертикальный пылесос Xiaomi Truclean W10 Pro Wet Dry Vacuum Белый (с заряд. B302CN-JZ)	Беспроводной вертикальный пылесос, Xiaomi, Truclean W10 Pro Wet Dry Vacuum (B302GL/ BHR6278EU), с заряд. док-станцией B302CN-JZ, IPX 4, Функции уборки 3-в-1, Номинальная мощность 200 Вт, Ёмкость аккумулятора 3700 мАч, Автономная работа 35 м, Белый	213891.0	171000.0	20%	"4 шт витрина
 1 - Упаковка вскрыта. Потеря ёмкости АКБ
"	8.0	
28435y	DX115C	Проводной вертикальный пылесос Deerma DX115С Черный	Проводной вертикальный пылесос, Deerma, DX115С, Объём пылесборника: 1.2 литров, Напряжение: 220V~50HZ, Давление: 15 кПа., Уровень шума: 75 дБ, Мощность: 400W, Черный	12990.0	7400.0	43%	"4- повреждения упаковки
2 шт - не хватает трубы удлинителя "	4.0	
28433y	DX600	Проводной вертикальный пылесос Deerma DX600 Черный	Проводной вертикальный пылесос, Deerma, DX600, Давление 15 кПа., Объём пылесборника: 0.8 литров, Вес: 2,2 кг, Уровень шума: 75 дБ, Потребляемая мощность: 600W, Длина шнура: 4,5 м, Черный	15990.0	11796.0	26%	1- вскрыта упаковка1- повреждена упаковка 	5.0	
28434y	DX700	Проводной вертикальный пылесос Deerma DX700	Проводной вертикальный пылесос, Deerma, DX700, Давление: 15 kРа., Объём пылесборника: 0.8 литров, Длина кабеля 4.5м, Потребляемая мощность: 600W, Уровень шума: 75 дБ, Вес: 2.2кг, Белый	18990.0	10000.0	47%	"1 - Следы эксплуатации, потертости, царапины, загрязнения на роботе-пылесосе, зарядной станции. Отсутствуют внутренние упаковочные пакеты.
2 - Повреждения и замятие упаковки. Потёртости.
5 - Повреждения упаковки
4 шт разводы от воды на упаковке
"	6.0	
43195y	DX700S	Проводной вертикальный пылесос Deerma DX700S Черный	Проводной вертикальный пылесос, Deerma, DX700S, Давление 15 кПа, Объём пылесборника 0.8 литров, Длина кабеля 4.5 м, Потребляемая мощность 600 Вт, Уровень шума 75 дБ, Вес 2.2 кг, Черный	18990.0	10400.0	45%	"1 Повреждена упаковка 
1 - Упаковка вскрыта и повреждена. Акт 83540"	1.0	
45006y	DX888	Проводной вертикальный пылесос Deerma DX888 Белый	Проводной вертикальный пылесос, Deerma, DX888, 15000 Па, Потребляемая мощность 600 Вт, Пылесборник 0.45 л, 85 дБ, Белый	15418.0	13541.0	12%	"2- поврежденные коробки
"	1.0	
62633y	DX700 Pro 	Проводной вертикальный пылесос Deerma DX700 Pro Черный	Проводной вертикальный пылесос, Deerma, DX700 Pro, Сила всасывания 15 000 Па, Объем пылесборника 0.8 мл, Длина кабеля 5 м, Потребляемая мощность 650 Вт, Уровень шума 85 дБ, Вес 2.2 кг, Черный	17935.0	10000.0	44%	"1 - Повреждена коробка
1 - Вскрытая упаковка. Следы эксплуатаци. Потёртости. Царапины. Загрязнения. Дефект турбощётки.
2 - Следы эксплуатации - потертости, царапины, загрязнения.
2 - Вскрыта и повреждение упаковки. Потертости.
1 - Следы эксплуатации, Не работает турбо щетка.
2 шт повреждение упаковки"	8.0	
61749y	VC03S	Беспроводной вертикальный пылесос Deerma VC03S Черный	Беспроводной вертикальный пылесос, Deerma, VC03S, Номинальная мощность 120 Вт, Вес 1.48 кг, Уровень шума 78 дБ, Объём пылесборника 600 мл, Ёмкость аккумулятора 4000 мАч, Время заряда 7 ч, Черный	30895.0	17769.0	42%	 6 - Повреждена упаковка	4.0	
43196y	VC55	Беспроводной вертикальный пылесос Deerma VC55 Белый	Беспроводной вертикальный пылесос, Deerma, VC55, Мощность всасывания 13 кПа, Вес 2.6 кг, Уровень шума 78 дБ, Объём пылесборника 300 мл, Ёмкость аккумулятора 2500 мАч, Белый	48565.0	30000.0	38%	"1 - Повреждение упаковки, небольшие потертости.
8 - повреждена упаковка
2 - Вскрыта и повреждение упаковки. Потертости."	8.0	
38921y	VC20 Pro	Беспроводной вертикальный пылесос Deerma VC20 Pro Синий	Беспроводной вертикальный пылесос, Deerma, VC20 Pro, Сухая/влажная уборка, Мощность всасывания 17000 Па, Вес 2.3 кг, Время зарядки 3 ч, Уровень шума 84 дБ, Объём пылесборника 600 мл, Объём резервуара для воды 400 мл, Ёмкость аккумулятора 2500 мАч, Синий	58706.0	49445.0	16%	"2 повреждена упаковка
1 - Вскрытая упаковка. Потёртости. Царапины.
1 - Повреждение упаковки. Следы эксплуатации."	6.0	
37427y	DX118C	Проводной вертикальный пылесос Deerma DX118С	Проводной вертикальный пылесос, Deerma, DX118С, Объём пылесборника 1.2 литров, Напряжение 220V~50HZ, Давление 16 кПа, Уровень шума 76 дБ, Потребляемая мощность 600W, Бело-серый	12990.0	5000.0	62%	"5 - повреждение упаковки 
1 - Отстуствуют щетка для пола, инструкция. Вскрыта коробка. Без следов эксплуатации.
1 - Вскрыта упаковка. Отсутствует щетка для пола. Без следов эксплуатации.
"	10.0	
84127y	E303HW-JZ	Беспроводной моющий вертикальный пылесос Xiaomi Truclean W30 Pro Wet Dry Vacuum EU	Беспроводной моющий вертикальный пылесос, Xiaomi, Truclean W30 Pro Wet Dry Vacuum EU (E303HW/ BHR08GYEU), с заряд. док-станцией E303HW-JZ, Функции уборки 3-в-1, Номинальная мощность 200 Вт, Ёмкость аккумулятора 6*2500 мАч, Автономная работа 28 м, LED дисплей, Станция самоочистки, Белый	159990.0	119963.0	25%	"1 - Уценка. Упаковка вскрыта. 
 1 - Следы эксплуатации, потертости, царапины, загрязнения на устройстве. Отсутствует внутренняя упаковка."	3.0	
38923y	DX1000W	Проводной вертикальный пылесос Deerma DX1000W Синий	Проводной вертикальный пылесос, Deerma, DX1000W, Объем пылесборника 600 мл, Уровень шума 82 дБа, Вес 2,4 кг, Синий	21990.0	10000.0	55%	"1 - Следы эксплуатации, потертости, глубокие царапины на корпусе устройства и аксессуаров, загрязнения.
2 - Следы эксплуатации, потертости, царапины, загрязнения на устройстве. Отстутствует внутренняя упаковочная пленка.
"	2.0	
49169y	7211004798	Беспроводной вертикальный пылесос Tefal TY1127WO	Беспроводной вертикальный пылесос, Tefal, TY1127WO, Максимальная мощность всасывания 100 Вт, Время работы до 40 мин, Объем контейнера 0.4 л, 2 режима работы, HEPA, Черный	99990.0	47200.0	53%	1- Следы эксплуатации, потертости, царапины, загрязнения. Повреждения коробки. 1- Повреждения коробки. Повреждения внутреннего упаковочного материала.	1.0	
48356y	SC-VC80H23	Проводной вертикальный пылесос Scarlett SC-VC80H23	Проводной вертикальный пылесос, Scarlett, SC-VC80H23, Мощность 600 Вт, Емкость пылесборника 0.5 л, Вертикальное хранение, Белый	16000.0	10400.0	35%	повреждена упаковка	1.0	
59754y	VJ10A	Беспроводной вертикальный пылесос Dreame Cordless Vacuum Cleaner Trouver J10	Беспроводной вертикальный пылесос, Dreame, Trouver J10 Cordless Stick Vacuum, VJ10A, Мощность 150W, Аккумулятор 2200mAh, 8kPa, Время работы 35min, Уровень шума 81dBA, Пылесборник 0.5L, Черный	39990.0	20000.0	50%	Повреждение и замятие упаковки. Потёртости и царапины. Следы эксплуатации. Потеря емкости АКБ. акт 82034	1.0	
55907y	VPV20A	Беспроводной вертикальный пылесос Dreame Cordless Vacuum Cleaner U10	Беспроводной вертикальный пылесос, Dreame, Cordless Vacuum Cleaner U10, VPV20A, Время полной зарядки 3,5ч, Аккумулятор 2000 мАч, Скорость мотора 100000 об/мин, вес продукта 5,1 кг, Пылесборник 500 мл, Сухая уборка, Hepa фильтр, Размер продукта 1250*256*249 мм, Белый	84990.0	65309.0	23%	 Беспроводной вертикальный пылесос Dreame Cordless Vacuum Cleaner U10 - 1 - Вскрытая упаковка. Потёртости.	1.0	
75879y	HHR20A	Беспроводной вертикальный пылесос Dreame Wet and Dry Vacuum G10 Pro	Беспроводной вертикальный пылесос, Dreame, Wet and Dry Vacuum G10 Pro, HHR20A, 300W, Мощность двигателя 98000 об/мин, Батарея 6*2500mAh, Мощность всасывания 16kPa, Время работы 25-35 мин (в зависимости от выбранного режима работы), Уровень шума 75 дБ, Вес устройства 4,8 кг, Емкость для чистой воды 900 мл, Емкость для отработанной воды 700 мл, Черный	98990.0	79659.0	20%	Упаковка вскрыта. Потёртости. Царапины. Загрязнения.	2.0	
75880y	HHR48A	Беспроводной вертикальный пылесос Dreame Wet and Dry Vacuum H15 Pro Heat	Беспроводной вертикальный пылесос, Dreame, Wet and Dry Vacuum H15 Pro Heat, HHR48A	404990.0	277211.0	32%	Потертости, загрязнения, на устройстве и аксессуарах. 1 шт	1.0	
47845y	2211400867	Беспроводной вертикальный пылесос Tefal TY9639WO	Беспроводной вертикальный пылесос, Tefal, TY9639WO, Время работы 35 мин , Батарея 22.2 В , Вес 2.7 кг, Гибкий корпус , Фильтрация 99.9 %, Фиолетовый	119990.0	57600.0	52%	Потеря товарного вида: повреждение и замятие упаковки. Потёртости и царапины.Потеря емкости АКБ	1.0	
52622y	VTV97A	Беспроводной вертикальный пылесос Dreame Cordless Vacuum Cleaner R20	Беспроводной вертикальный пылесос, Dreame, Cordless Vacuum Cleaner R20, VTV97A, 570W, 150,000 rpm, 3000mAh, Мощность всасывания 190AW (Аэроватт), 27kPa, 90min, 0.6L, Серый	249990.0	123741.0	51%	Повреждены внешняя и внутренняя коробки. Коробка вскрыта. 1 шт перемещ 26475	1.0	
55300y	VTV41B	Беспроводной вертикальный пылесос Dreame Cordless Vacuum Cleaner R10 Pro	Беспроводной вертикальный пылесос, Dreame, Cordless Vacuum Cleaner R10 Pro, VTV41B, Мощность 425W, Мощность двигателя 120,000rpm, Аккумулятор 7*3000mAh, Время работы 65min, Максимальная мощность всасывания 22 кПа, Время зарядки 240 мин, Объем пылесборника 0,6 л, HEPA-фильтр, Минимальный уровень шума 68 дБ, 268х775х155, Вес 1,65 кг, Черный	184990.0	93016.0	50%	Трещина на рукоятке пылесоса. Потертости, царапины, загрязнения на устройстве и аксессуарах. 1 шт перемещ 26475	1.0	
55908y	VPV11A	Беспроводной вертикальный пылесос Dreame Cordless Vacuum Cleaner U20	Беспроводной вертикальный пылесос, Dreame, Cordless Vacuum Cleaner U20, VPV11A, Сила всасывания 20000Па, Аккумулятор на 2500мАч, 60 минут автономной работы, Подсветка, Время полного заряда 3,5 часа, Мощность 370 Вт, Пылесборник 500 мл, НЕРА-фильтр, Сухая уборка, Скорость двигателя 100000 об/мин, 4,4 кг, Размер продукта 1250*256*249 мм, Белый	104990.0	71587.0	32%	 V2316037QEU0001705 Потертости, царапины, загрязнения, на устройстве и аксессуарах. Вмятина на корпусе.	1.0	
57707y	КТ-525-3	Проводной вертикальный пылесос Kitfort КТ-525-3 зеленый	Проводной вертикальный пылесос, Kitfort, КТ-525-3, Потребляемая мощность 600 Вт, Тип уборки сухая, Цвет зеленый	25590.0	14800.0	42%	Деформация коробки. Коробка вскрыта. Потертости на устройстве и аксессуарах.	1.0	
Робот-пылесосы									
61720y	C108	Робот-пылесос Xiaomi Robot Vacuum E5 Белый	Робот-пылесос, Xiaomi, Robot Vacuum E5/C108 (BHR7969EU), Гироскоп навигация, Функция влажной уборки, Аккумулятор 2600 мАч, 2000 Па, Белый	49990.0	30000.0	40%	" 1 - Повреждение и замятие упаковки. Потёртости, Потеря емкости АКБ.
1 - Повреждена коробка и внутренняя упаковка."	2.0	
61038y	C108	Робот-пылесос Xiaomi Robot Vacuum E5 Черный	Робот-пылесос, Xiaomi, Robot Vacuum E5/C108 (BHR8298EU), Гироскоп навигация, Функция влажной уборки, Аккумулятор 2600 мАч, 2000 Па,Черный	49990.0	32920.0	34%	1 - Повреждена упаковка с потеря товарного вида. акт 83731	1.0	
41021y	MJSTL	Робот-пылесос Mi Robot Vacuum-Mop 2 Lite Белый (в комплекте с зарядной док-станцией CDZMJSTL)	Робот-пылесос, Xiaomi, Mi Robot Vacuum Mop 2 Lite, MJSTL (BHR5217EU/BHR5217EN/BHR5959RU), в комплекте с зарядной док-станцией CDZMJSTL, Функция влажной уборки, Лазерный датчик расстояния LDS, Емкость аккумулятора 2600 мАч,Точный контроль воды, Мощность всасывания 2700 Па, Площадь уборки до 180 м, Аккумулятор 3200 мАч, Белый	114990.0	65084.0	43%	1- поврежденная упаковка 	1.0	
