Код	Артикул	Наименование	Полное наименование	Цена роз.	Цена сайт
Ноутбуки					
4298	S4025BL0300-P	Патч Корд SHIP Cat.5e FTP LSZH RJ-45 3 м S4025BL0300-P	Патч Корд, SHIP, S4025BL0300-P, Cat.5e, FTP, LSZH, RJ-45, 3 м, Синий, Экранированный, Пол. пакет	1506.0	1430.7
4289	S4025RD0300-P	Патч Корд SHIP Cat.5e FTP LSZH RJ-45 3 м S4025RD0300-P	Патч Корд, SHIP, S4025RD0300-P, Cat.5e, FTP, LSZH, RJ-45, 3 м, Красный, Экранированный, Пол. пакет	1506.0	1430.7
4307	S4025YL0300-P	Патч Корд SHIP Cat.5e FTP LSZH RJ-45 3 м S4025YL0300-P	Патч Корд, SHIP, S4025YL0300-P, Cat.5e, FTP, LSZH, RJ-45, 3 м, Жёлтый, Экранированный, Пол. пакет	1506.0	1430.7
2082	S6025BK0300-P	Патч Корд SHIP Cat.6 UTP LSZH RJ-45 3 м S6025BK0300-P	Патч Корд, SHIP, S6025BK0300-P, Cat.6, UTP, LSZH, RJ-45, 3 м, Чёрный, Пол. пакет	2019.0	1918.05
4325	S6025BL0300-P	Патч Корд SHIP Cat.6 UTP LSZH RJ-45 3 м S6025BL0300-P	Патч Корд, SHIP, S6025BL0300-P, Cat.6, UTP, LSZH, RJ-45, 3 м, Синий, Пол. пакет	2019.0	1918.05
4333	S6025RD0300-P	Патч Корд SHIP Cat.6 UTP RJ-45 3 м S6025RD0300-P	Патч Корд, SHIP, S6025RD0300-P, Cat.6, UTP, RJ-45, 3 м, Красный, Пол. пакет	2019.0	1918.05
4339	S6025YL0300-P	Патч Корд SHIP Cat.6 UTP RJ-45 3 м S6025YL0300-P	Патч Корд, SHIP, S6025YL0300-P, Cat.6, UTP, RJ-45, 3 м, Жёлтый, Пол. пакет	2019.0	1918.05
49390	051774	Патч Корд Legrand Cat.6 UTP PVC RJ-45 3 м	Патч Корд, Legrand, 051774, Cat. 6, UTP, PVC, RJ-45, 3 м, синий, Пол. пакет	8198.0	7788.099999999999
4343	S7025BK0300-P	Патч Корд SHIP Cat.6 FTP LSZH RJ-45 3 м S7025BK0300-P	Патч Корд, SHIP, S7025BK0300-P, Cat.6, FTP, LSZH, RJ-45, 3 м, Чёрный, Экранированный, Пол. пакет	2043.0	1940.85
4348	S7025BL0300-P	Патч Корд SHIP Cat.6 FTP LSZH RJ-45 3 м S7025BL0300-P	Патч Корд, SHIP, S7025BL0300-P, Cat.6, FTP, LSZH, RJ-45, 3 м, Синий, Экранированный, Пол. пакет	2043.0	1940.85
4351	S7025RD0300-P	Патч Корд SHIP Cat.6 FTP RJ-45 3 м S7025RD0300-P	Патч Корд, SHIP, S7025RD0300-P, Cat.6, FTP, RJ-45, 3 м, Красный, Экранированный, Пол. пакет	1932.0	1835.3999999999999
4354	S7025YL0300-P	Патч Корд SHIP Cat.6 FTP LSZH RJ-45 3 м S7025YL0300-P	Патч Корд, SHIP, S7025YL0300-P, Cat.6, FTP, LSZH, RJ-45, 3 м, Жёлтый, Экранированный, Пол. пакет	1932.0	1835.3999999999999
38525	S8025BL0300-P	Патч Корд SHIP Cat.6A SFTP LSZH RJ-45 3 м S8025BL0300-P	Патч Корд, SHIP, S8025BL0300-P, Cat.6A, SFTP, LSZH, RJ-45, 3 м, Синий, Экранированный, Пол. пакет	1895.0	1800.25
78409	051639	Патч Корд Legrand Cat.5e UTP PVC RJ-45 5 м	Патч Корд, Legrand, 051639, Cat. 5e, UTP, PVC, RJ-45, 5 м, серый, Пол. пакет	6603.0	6272.849999999999
1311	S3025BL0500-P	Патч Корд SHIP Cat.5e UTP LSZH RJ-45 5 м S3025BL0500-P	Патч Корд, SHIP, S3025BL0500-P, Cat.5e, UTP, LSZH, RJ-45, 5 м, Синий, Пол. пакет	2645.0	2512.75
612	S3025RD0500-P	Патч Корд SHIP Cat.5e UTP LSZH RJ-45 5 м S3025RD0500-P	Патч Корд, SHIP, S3025RD0500-P, Cat.5e, UTP, LSZH, RJ-45, 5 м, Красный, Пол. пакет	2645.0	2512.75
1310	S3025YL0500-P	Патч Корд SHIP Cat.5e UTP LSZH RJ-45 5 м S3025YL0500-P	Патч Корд, SHIP, S3025YL0500-P, Cat.5e, UTP, LSZH, RJ-45, 5 м, Жёлтый, Пол. пакет	2645.0	2512.75
1950	S3025BK0500-P	Патч Корд SHIP Cat.5e UTP LSZH RJ-45 5 м S3025BK0500-P Пол. пакет	Патч Корд, SHIP, S3025BK0500-P, Cat.5e, UTP, LSZH, RJ-45, 5 м, Чёрный, Пол. пакет	2645.0	2512.75
4314	S4025BK0500-P	Патч Корд SHIP Cat.5e FTP LSZH RJ-45 5 м S4025BK0500-P	Патч Корд, SHIP, S4025BK0500-P, Cat.5e, FTP, LSZH, RJ-45, 5 м, Чёрный, Экранированный, Пол. пакет	2338.0	2221.1
4299	S4025BL0500-P	Патч Корд SHIP Cat.5e FTP LSZH RJ-45 5 м S4025BL0500-P	Патч Корд, SHIP, S4025BL0500-P, Cat.5e, FTP, LSZH, RJ-45, 5 м, Синий, Экранированный, Пол. пакет	2338.0	2221.1
4290	S4025RD0500-P	Патч Корд SHIP Cat.5e FTP RJ-45 5 м S4025RD0500-P	Патч Корд, SHIP, S4025RD0500-P, Cat.5e, FTP, LSZH, RJ-45, 5 м, Красный, Экранированный, Пол. пакет	2338.0	2221.1
4308	S4025YL0500-P	Патч Корд SHIP Cat.5e FTP LSZH RJ-45 5 м S4025YL0500-P	Патч Корд, SHIP, S4025YL0500-P, Cat.5e, FTP, LSZH, RJ-45, 5 м, Жёлтый, Экранированный, Пол. пакет	2338.0	2221.1
4318	S6025BK0500-P	Патч Корд SHIP Cat.6 UTP LSZH RJ-45 5 м S6025BK0500-P	Патч Корд, SHIP, S6025BK0500-P, Cat.6, UTP, LSZH, RJ-45, 5 м, Чёрный, Пол. пакет	3065.0	2911.75
4326	S6025BL0500-P	Патч Корд SHIP Cat.6 UTP LSZH RJ-45 5 м S6025BL0500-P	Патч Корд, SHIP, S6025BL0500-P, Cat.6, UTP, LSZH, RJ-45, 5 м, Синий, Пол. пакет	3065.0	2911.75
4334	S6025RD0500-P	Патч Корд SHIP Cat.6 UTP LSZH RJ-45 5 м S6025RD0500-P	Патч Корд, SHIP, S6025RD0500-P, Cat.6, UTP, LSZH, RJ-45, 5 м, Красный, Пол. пакет	3065.0	2911.75
4338	S6025YL0500-P	Патч Корд SHIP Cat.6 UTP LSZH RJ-45 5 м S6025YL0500-P	Патч Корд, SHIP, S6025YL0500-P, Cat.6, UTP, LSZH, RJ-45, 5 м, Жёлтый, Пол. пакет	3065.0	2911.75
70176	051775	Патч Корд Legrand Cat.6 UTP PVC RJ-45 5 м	Патч Корд, Legrand, 051775, Cat. 6, UTP, PVC, RJ-45, 5 м, синий, Пол. пакет	12910.0	12264.5
4344	S7025BK0500-P	Патч Корд SHIP Cat.6 FTP LSZH RJ-45 5 м S7025BK0500-P	Патч Корд, SHIP, S7025BK0500-P, Cat.6, FTP, LSZH, RJ-45, 5 м, Чёрный, Экранированный, Пол. пакет	2873.0	2729.35
1314	S3025BL0750-P	Патч Корд SHIP Cat.5e UTP LSZH RJ-45 7.5 м S3025BL0750-P	Патч Корд, SHIP, S3025BL0750-P, Cat.5e, UTP, LSZH, RJ-45, 7.5 м, Синий, Пол. пакет	3730.0	3543.5
1312	S3025RD0750-P	Патч Корд SHIP Cat.5e UTP LSZH RJ-45 7.5 м S3025RD0750-P	Патч Корд, SHIP, S3025RD0750-P, Cat.5e, UTP, LSZH, RJ-45, 7.5 м, Красный, Пол. пакет	3730.0	3543.5
1313	S3025YL0750-P	Патч Корд SHIP Cat.5e UTP LSZH RJ-45 7.5 м S3025YL0750-P	Патч Корд, SHIP, S3025YL0750-P, Cat.5e, UTP, LSZH, RJ-45, 7.5 м, Жёлтый, Пол. пакет	3730.0	3543.5
1934	S3025BK0750-P	Патч Корд SHIP Cat.5e UTP LSZH RJ-45 7.5 м S3025BK0750-P	Патч Корд, SHIP, S3025BK0750-P, Cat.5e, UTP, LSZH, RJ-45, 7.5 м, Чёрный, Пол. пакет	3730.0	3543.5
4315	S4025BK0750-P	Патч Корд SHIP Cat.5e FTP RJ-45 7.5 м S4025BK0750-P	Патч Корд, SHIP, S4025BK0750-P, Cat.5e, FTP, RJ-45, 7.5 м, Чёрный, Экранированный, Пол. пакет	3220.0	3059.0
4300	S4025BL0750-P	Патч Корд SHIP Cat.5e FTP LSZH RJ-45 7.5 м S4025BL0750-P	Патч Корд, SHIP, S4025BL0750-P, Cat.5e, FTP, LSZH, RJ-45, 7.5 м, Синий, Экранированный, Пол. пакет	3220.0	3059.0
4291	S4025RD0750-P	Патч Корд SHIP Cat.5e FTP RJ-45 7.5 м S4025RD0750-P	Патч Корд, SHIP, S4025RD0750-P, Cat.5e, FTP, LSZH, RJ-45, 7.5 м, Красный, Экранированный, Пол. пакет	3220.0	3059.0
